Species,Order,AvgLifespan,MaxLifespan,Common name, 
Sus scrofa,Artiodactyla,12.5,27,Wild boar,
Bos taurus,Artiodactyla,20,20,Domestic cattle,
Ovis aries,Artiodactyla,10,22.8,Domestic sheep,
Capra hircus,Artiodactyla,13.5,20.8,Domestic goat,
Lipotes vexillifer,Artiodactyla,23,24,Baiji,
Monodon monoceros,Artiodactyla,40,50,Narwhal,
Globicephala melas,Artiodactyla,57.5,60,Long-finned pilot whale,
Balaenoptera physalus,Artiodactyla,85,114,Fin whale,
Delphinus delphis,Artiodactyla,22.5,25,Short-beaked common dolphin,
Phocoena phocoena,Artiodactyla,10,20.4,Harbor purpoise,
Muntiacus muntjak,Artiodactyla,17,18.8,Southern red muntjac,
Odocoileus virginianus,Artiodactyla,14,23,Texas white-tailed deer,
Vicugna pacos,Artiodactyla,20,25.8,Alpaca,
Bison bison,Artiodactyla,20,33.5,American bison,
Camelus bactrianus,Artiodactyla,35,35.4,Bactrian camel,
Hippopotamus amphibius,Artiodactyla,45,61.2,Hippopotamus,
Camelus dromedarius,Artiodactyla,28.4,28.4,Dromedary,
Bos grunniens,Artiodactyla,22.5,26.3,Wild yak,
Neophocaena phocaenoides,Artiodactyla,15,33,Yangtze finless porpoise,
Bos javanicus,Artiodactyla,18,27.1,Banteng,
Eubalaena glacialis,Artiodactyla,55,67,North atlantic right whale,
Balaenoptera acutorostrata,Artiodactyla,47.5,50,Common minke whale,
Orcinus orca,Artiodactyla,80,90,Killer whale,
Tursiops truncatus,Artiodactyla,50,51.6,Bottlenosed dolphin,
Balaenoptera musculus,Artiodactyla,90,110,Blue whale,
Physeter macrocephalus,Artiodactyla,65,77,Sperm whale,
